token	sites	files
0.73329	1	1
0.727713	1	1
0.757271	1	1
0.768152	1	1
0.775964	1	1
0.783458	1	1
0.80077	1	1
0.797932	1	1
0.810314	1	1
0.81869	1	1
0.820111	1	1
0.829854	1	1
0.834026	1	1
0.841326	1	1
0.843973	1	1
0.847922	1	1
0.858153	1	1
0.856903	1	1
0.858529	1	1
0.868727	1	1
0.862837	1	1
0.871493	1	1
0.876271	1	1
0.875507	1	1
0.880854	1	1
0.878536	1	1
0.885307	1	1
0.887318	1	1
0.890606	1	1
0.890264	1	1
0.893034	1	1
0.898365	1	1
0.896602	1	1
0.899384	1	1
0.901048	1	1
0.904264	1	1
0.902966	1	1
0.906581	1	1
0.908435	1	1
0.907805	1	1
0.91133	1	1
0.913216	1	1
0.912063	1	1
0.913785	1	1
0.916749	1	1
0.915789	1	1
0.918895	1	1
0.919865	1	1
0.920497	1	1
0.921825	1	1
0.92345	1	1
0.92432	1	1
0.923952	1	1
0.925951	1	1
0.926259	1	1
0.927963	1	1
0.928288	1	1
0.930179	1	1
0.930933	1	1
0.925191	1	1
0.934905	1	1
0.932677	1	1
0.933801	1	1
0.934811	1	1
0.934255	1	1
0.936249	1	1
0.935739	1	1
0.931335	1	1
0.93934	1	1
0.939084	1	1
0.939209	1	1
0.939624	1	1
0.94091	1	1
0.940528	1	1
0.940834	1	1
0.942504	1	1
0.942799	1	1
0.943895	1	1
0.943777	1	1
0.945166	1	1
0.944398	1	1
0.945379	1	1
0.946653	1	1
0.94639	1	1
0.946253	1	1
0.947046	1	1
0.948222	1	1
0.944239	1	1
0.949949	1	1
0.948752	1	1
0.950152	1	1
2.15681	1	1
8.81255	1	1
2.72685	1	1
3.45589	1	1
2.32749	1	1
2.90262	1	1
2.41888	1	1
2.76084	1	1
2.37034	1	1
2.47951	1	1
2.3207	1	1
2.41864	1	1
2.21943	1	1
2.33924	1	1
2.18108	1	1
2.25062	1	1
2.14112	1	1
2.1984	1	1
2.09772	1	1
2.13145	1	1
2.08836	1	1
2.12187	1	1
2.03728	1	1
2.08679	1	1
2.05492	1	1
2.05858	1	1
2.04114	1	1
2.06094	1	1
2.02109	1	1
2.02455	1	1
1.99134	1	1
2.01884	1	1
2.01627	1	1
2.0241	1	1
1.96923	1	1
2.01425	1	1
1.9681	1	1
1.98454	1	1
1.97773	1	1
1.99193	1	1
1.95293	1	1
1.96469	1	1
1.97371	1	1
1.99114	1	1
1.93276	1	1
1.96951	1	1
1.9455	1	1
1.96897	1	1
1.96819	1	1
1.94352	1	1
1.9391	1	1
1.97577	1	1
1.94596	1	1
1.94278	1	1
1.95162	1	1
1.94947	1	1
1.9354	1	1
1.95432	1	1
1.94189	1	1
1.93058	1	1
1.92598	1	1
1.93135	1	1
1.92705	1	1
1.94832	1	1
1.94477	1	1
1.93304	1	1
1.91891	1	1
1.92816	1	1
1.93071	1	1
1.92636	1	1
1.92686	1	1
1.94204	1	1
1.91158	1	1
1.93024	1	1
1.93606	1	1
1.94116	1	1
1.94119	1	1
1.92857	1	1
1.92096	1	1
1.94413	1	1
1.90939	1	1
1.90963	1	1
1.91973	1	1
1.92188	1	1
1.92554	1	1
1.92088	1	1
1.92246	1	1
1.92766	1	1
1.90794	1	1
1.91497	1	1
1.92607	1	1
1.93512	1	1
1.91289	1	1
1.94698	1	1
1.92398	1	1
1.93819	1	1
1.91674	1	1
1.93119	1	1
1.91059	1	1
1.91698	1	1
1.91589	1	1
1.92052	1	1
1.90968	1	1
1.90836	1	1
1.91082	1	1
1.91337	1	1
1.92452	1	1
1.92157	1	1
1.90225	1	1
1.90111	1	1
1.89789	1	1
1.91614	1	1
1.90442	1	1
1.91467	1	1
1.90748	1	1
1.93264	1	1
1.89417	1	1
1.91169	1	1
1.89229	1	1
1.92045	1	1
1.91328	1	1
1.90585	1	1
1.90647	1	1
1.90834	1	1
1.90034	1	1
1.91302	1	1
1.9122	1	1
1.91081	1	1
1.88134	1	1
1.91332	1	1
1.90927	1	1
1.92343	1	1
1.91227	1	1
1.91807	1	1
1.90075	1	1
1.90756	1	1
1.91373	1	1
1.90561	1	1
1.91607	1	1
1.92025	1	1
1.91531	1	1
1.91193	1	1
1.91862	1	1
1.90792	1	1
1.90866	1	1
1.89406	1	1
1.91595	1	1
1.89274	1	1
1.90876	1	1
1.89717	1	1
1.90859	1	1
1.91391	1	1
1.90095	1	1
1.90033	1	1
1.90295	1	1
1.90713	1	1
1.90025	1	1
1.88309	1	1
1.91291	1	1
1.90952	1	1
1.9081	1	1
1.90577	1	1
1.91587	1	1
1.88008	1	1
1.90212	1	1
1.93413	1	1
1.89113	1	1
1.92183	1	1
1.88261	1	1
1.91105	1	1
1.91124	1	1
1.91656	1	1
1.91666	1	1
1.89339	1	1
1.90318	1	1
1.90783	1	1
1.89488	1	1
1.91292	1	1
1.91516	1	1
1.9127	1	1
1.89191	1	1
1.88983	1	1
1.90066	1	1
1.90265	1	1
1.90542	1	1
1.9038	1	1
1.8986	1	1
1.89256	1	1
1.88351	1	1
1.8852	1	1
1.92514	1	1
1.88772	1	1
1.9043	1	1
1.9022	1	1
1.89706	1	1
1.89817	1	1
1.88593	1	1
1.9075	1	1
1.88818	1	1
1.89838	1	1
1.89365	1	1
1.89466	1	1
1.90708	1	1
1.91575	1	1
1.89518	1	1
1.90846	1	1
1.91872	1	1
1.89268	1	1
1.90013	1	1
1.90088	1	1
1.90508	1	1
1.92669	1	1
1.90787	1	1
1.87833	1	1
1.8908	1	1
1.8995	1	1
1.89255	1	1
1.88287	1	1
1.89618	1	1
1.89197	1	1
1.89878	1	1
1.88857	1	1
1.88001	1	1
1.88522	1	1
1.91297	1	1
1.89276	1	1
1.89648	1	1
1.89694	1	1
1.9099	1	1
1.90364	1	1
1.91509	1	1
1.88928	1	1
1.90324	1	1
1.89895	1	1
1.90954	1	1
1.89269	1	1
1.88783	1	1
1.89777	1	1
1.88776	1	1
1.87254	1	1
1.90645	1	1
1.90498	1	1
1.90964	1	1
1.91295	1	1
1.91371	1	1
1.90281	1	1
1.88529	1	1
1.89394	1	1
1.91211	1	1
1.88646	1	1
1.89684	1	1
1.89019	1	1
1.90584	1	1
1.8982	1	1
1.89138	1	1
1.88391	1	1
1.89593	1	1
1.87554	1	1
1.89157	1	1
1.89109	1	1
1.91159	1	1
1.88954	1	1
1.89924	1	1
1.90355	1	1
1.91358	1	1
1.89022	1	1
1.9111	1	1
1.90806	1	1
1.90755	1	1
1.90232	1	1
1.91273	1	1
1.8973	1	1
1.9001	1	1
1.89809	1	1
1.87097	1	1
1.906	1	1
1.90316	1	1
1.88788	1	1
1.91002	1	1
1.89125	1	1
1.88322	1	1
1.88575	1	1
1.91677	1	1
1.88543	1	1
1.90811	1	1
1.90059	1	1
1.89444	1	1
1.90427	1	1
1.9061	1	1
1.90819	1	1
1.90026	1	1
1.89927	1	1
1.90479	1	1
1.88131	1	1
1.89867	1	1
1.90644	1	1
1.88228	1	1
1.88071	1	1
1.90087	1	1
1.90146	1	1
1.87144	1	1
1.91352	1	1
1.9141	1	1
1.89858	1	1
1.89862	1	1
1.90519	1	1
1.89918	1	1
1.89944	1	1
1.89251	1	1
1.90507	1	1
1.88644	1	1
1.89033	1	1
1.88505	1	1
1.87862	1	1
1.90548	1	1
1.89442	1	1
1.89409	1	1
1.88847	1	1
1.90832	1	1
1.88451	1	1
1.9019	1	1
1.90881	1	1
1.90307	1	1
1.91407	1	1
1.88398	1	1
1.91621	1	1
1.88462	1	1
1.90465	1	1
1.87257	1	1
1.90098	1	1
1.90786	1	1
1.88021	1	1
1.90588	1	1
1.88598	1	1
1.88188	1	1
1.9037	1	1
1.894	1	1
1.90562	1	1
1.9023	1	1
1.90257	1	1
1.91506	1	1
1.88724	1	1
1.89661	1	1
1.89036	1	1
1.91581	1	1
1.89118	1	1
1.88842	1	1
1.8849	1	1
1.89656	1	1
1.89162	1	1
1.89988	1	1
1.89194	1	1
1.89482	1	1
1.9133	1	1
1.89691	1	1
1.89646	1	1
1.90788	1	1
1.87967	1	1
1.90209	1	1
1.91069	1	1
1.88581	1	1
1.88022	1	1
1.88962	1	1
1.89843	1	1
1.89884	1	1
1.88286	1	1
1.90381	1	1
1.89093	1	1
1.89283	1	1
1.92003	1	1
1.89169	1	1
1.91138	1	1
1.91967	1	1
1.8953	1	1
1.90448	1	1
1.90181	1	1
1.89381	1	1
1.90262	1	1
1.89806	1	1
1.92212	1	1
1.90101	1	1
1.88927	1	1
1.89137	1	1
1.89204	1	1
1.90466	1	1
1.89143	1	1
1.90659	1	1
1.90207	1	1
1.9059	1	1
1.90186	1	1
1.89992	1	1
1.89709	1	1
1.8906	1	1
1.8974	1	1
1.90416	1	1
1.89726	1	1
1.88361	1	1
1.89477	1	1
1.87703	1	1
1.89657	1	1
1.9032	1	1
1.8782	1	1
1.90761	1	1
1.90883	1	1
1.89922	1	1
1.88931	1	1
1.90294	1	1
1.91728	1	1
1.8975	1	1
1.90712	1	1
1.90092	1	1
1.90051	1	1
1.90849	1	1
1.88904	1	1
1.90751	1	1
1.86961	1	1
1.90242	1	1
1.89402	1	1
1.90003	1	1
1.88839	1	1
1.90072	1	1
1.89577	1	1
1.88399	1	1
1.89207	1	1
1.90252	1	1
1.88967	1	1
1.90138	1	1
1.91235	1	1
1.90589	1	1
1.89749	1	1
1.88218	1	1
1.90668	1	1
1.88645	1	1
1.91537	1	1
1.88989	1	1
1.87472	1	1
1.90244	1	1
1.90391	1	1
1.8828	1	1
1.88782	1	1
1.88651	1	1
1.91428	1	1
1.88879	1	1
1.90204	1	1
1.88806	1	1
1.9132	1	1
1.87505	1	1
1.89064	1	1
1.89937	1	1
1.90317	1	1
1.87959	1	1
1.91334	1	1
1.89087	1	1
1.90313	1	1
1.88701	1	1
1.91023	1	1
1.89054	1	1
1.8945	1	1
1.89948	1	1
1.88011	1	1
1.8943	1	1
1.89616	1	1
1.89537	1	1
1.88551	1	1
1.90539	1	1
1.89958	1	1
1.88902	1	1
1.8978	1	1
1.88383	1	1
1.89353	1	1
1.87327	1	1
1.89261	1	1
1.8932	1	1
1.90353	1	1
1.90393	1	1
1.89115	1	1
1.90125	1	1
1.88323	1	1
1.8885	1	1
1.89575	1	1
1.89907	1	1
1.88814	1	1
1.90582	1	1
1.88155	1	1
1.90385	1	1
1.89629	1	1
1.89471	1	1
1.91022	1	1
1.87994	1	1
1.88495	1	1
1.90931	1	1
1.89826	1	1
1.85809	1	1
1.90934	1	1
1.89164	1	1
1.88081	1	1
1.8992	1	1
1.87815	1	1
1.89481	1	1
1.90496	1	1
1.87239	1	1
1.89234	1	1
1.89378	1	1
1.89824	1	1
1.88727	1	1
1.88735	1	1
1.8909	1	1
1.88136	1	1
1.88493	1	1
1.89821	1	1
1.89608	1	1
1.90322	1	1
1.89722	1	1
1.90471	1	1
1.90275	1	1
1.90514	1	1
1.89977	1	1
1.89659	1	1
1.89102	1	1
1.87468	1	1
1.89986	1	1
1.89101	1	1
1.90189	1	1
1.89183	1	1
1.88167	1	1
1.88848	1	1
1.8998	1	1
1.90078	1	1
1.88937	1	1
1.89438	1	1
1.88236	1	1
1.88634	1	1
1.90459	1	1
1.88899	1	1
1.9121	1	1
1.89335	1	1
1.88067	1	1
1.89845	1	1
1.90379	1	1
1.89761	1	1
1.88957	1	1
1.89919	1	1
1.87728	1	1
1.8912	1	1
1.89044	1	1
1.90135	1	1
1.89168	1	1
1.88689	1	1
1.88565	1	1
1.88905	1	1
1.88723	1	1
1.87604	1	1
1.91439	1	1
1.90133	1	1
1.90071	1	1
1.90015	1	1
1.90973	1	1
1.89383	1	1
1.89142	1	1
1.8829	1	1
1.87547	1	1
1.88567	1	1
1.87654	1	1
1.90044	1	1
1.89668	1	1
1.88688	1	1
1.8951	1	1
1.90837	1	1
1.90282	1	1
1.8893	1	1
1.88972	1	1
1.89732	1	1
1.89371	1	1
1.91153	1	1
1.90202	1	1
1.89278	1	1
1.88933	1	1
1.88005	1	1
1.9068	1	1
1.89558	1	1
1.89649	1	1
1.89931	1	1
1.89903	1	1
1.89768	1	1
1.8823	1	1
1.88875	1	1
1.89121	1	1
1.90444	1	1
1.87558	1	1
1.90504	1	1
1.90253	1	1
1.90053	1	1
1.90118	1	1
1.88344	1	1
1.89658	1	1
1.89615	1	1
1.88639	1	1
1.88376	1	1
1.88869	1	1
1.90987	1	1
1.88091	1	1
1.91121	1	1
1.88613	1	1
1.88337	1	1
1.89822	1	1
1.88458	1	1
1.91133	1	1
1.88807	1	1
1.89759	1	1
1.88328	1	1
1.89338	1	1
1.90343	1	1
1.89968	1	1
1.8861	1	1
1.90912	1	1
1.89127	1	1
1.87304	1	1
1.88516	1	1
1.88347	1	1
1.91319	1	1
1.8873	1	1
1.90613	1	1
1.89508	1	1
1.87199	1	1
1.90935	1	1
1.88066	1	1
1.91498	1	1
1.886	1	1
1.90733	1	1
1.89976	1	1
1.88605	1	1
1.8883	1	1
1.88447	1	1
1.88897	1	1
1.89833	1	1
1.90698	1	1
1.89831	1	1
1.88439	1	1
1.8969	1	1
1.89293	1	1
1.88194	1	1
1.87484	1	1
1.89074	1	1
1.90319	1	1
1.91112	1	1
1.88657	1	1
1.9033	1	1
1.89549	1	1
1.88448	1	1
1.90199	1	1
1.87417	1	1
1.8832	1	1
1.88876	1	1
1.88684	1	1
1.9013	1	1
1.87905	1	1
1.88232	1	1
1.90718	1	1
1.87753	1	1
1.9065	1	1
1.90041	1	1
1.88791	1	1
1.9134	1	1
1.89439	1	1
1.89448	1	1
1.90285	1	1
1.89068	1	1
1.88837	1	1
1.89769	1	1
1.88539	1	1
1.88133	1	1
1.89069	1	1
1.89388	1	1
1.90184	1	1
1.87038	1	1
1.90038	1	1
1.89678	1	1
1.88616	1	1
1.90152	1	1
1.89782	1	1
1.9074	1	1
1.89764	1	1
1.89548	1	1
1.88731	1	1
1.90634	1	1
1.88099	1	1
1.91536	1	1
1.89966	1	1
1.87809	1	1
1.88994	1	1
1.88381	1	1
1.89081	1	1
1.88562	1	1
1.89853	1	1
1.90482	1	1
1.88468	1	1
1.90035	1	1
1.89295	1	1
1.90462	1	1
1.89681	1	1
1.88103	1	1
1.89812	1	1
1.90114	1	1
1.88874	1	1
1.90127	1	1
1.87943	1	1
1.89715	1	1
1.90068	1	1
1.8923	1	1
1.88333	1	1
1.89676	1	1
1.88366	1	1
1.91161	1	1
1.88421	1	1
1.89144	1	1
1.90206	1	1
1.88643	1	1
1.90517	1	1
1.90919	1	1
1.89141	1	1
1.88577	1	1
1.89182	1	1
1.885	1	1
1.90218	1	1
1.89239	1	1
1.90625	1	1
1.88104	1	1
1.89626	1	1
1.89945	1	1
1.88308	1	1
1.90484	1	1
1.89541	1	1
1.87879	1	1
1.89445	1	1
1.88854	1	1
1.88014	1	1
1.91178	1	1
1.91681	1	1
1.90214	1	1
1.89259	1	1
1.89506	1	1
1.88619	1	1
1.89281	1	1
1.89551	1	1
1.8855	1	1
1.88574	1	1
1.90001	1	1
1.88354	1	1
1.88374	1	1
1.87765	1	1
1.89739	1	1
1.89368	1	1
1.89146	1	1
1.89516	1	1
1.8783	1	1
1.89885	1	1
1.89899	1	1
1.88313	1	1
1.90857	1	1
1.89404	1	1
1.90807	1	1
1.87233	1	1
1.88823	1	1
1.8987	1	1
1.87895	1	1
1.8966	1	1
1.90515	1	1
1.8914	1	1
1.88204	1	1
1.89711	1	1
1.87751	1	1
1.89793	1	1
1.88654	1	1
1.88197	1	1
1.89874	1	1
1.89499	1	1
1.88469	1	1
1.88786	1	1
1.89704	1	1
1.89479	1	1
1.89705	1	1
1.8853	1	1
1.90603	1	1
1.89423	1	1
1.88896	1	1
1.89314	1	1
1.89921	1	1
1.88988	1	1
1.90855	1	1
1.8792	1	1
1.89072	1	1
1.88432	1	1
1.87707	1	1
1.91261	1	1
1.88729	1	1
1.8989	1	1
1.88147	1	1
1.88846	1	1
1.90401	1	1
1.90417	1	1
1.88635	1	1
1.88752	1	1
1.87506	1	1
1.8958	1	1
1.89085	1	1
1.88669	1	1
1.90684	1	1
1.87381	1	1
1.88418	1	1
1.89989	1	1
1.87953	1	1
1.89611	1	1
1.88679	1	1
1.89886	1	1
1.89282	1	1
1.9088	1	1
1.91984	1	1
1.88528	1	1
1.90889	1	1
1.89211	1	1
1.88465	1	1
1.9064	1	1
1.88655	1	1
1.88969	1	1
1.90052	1	1
1.87937	1	1
.202399	1	1
-.29158	1	1
-.03321	1	1
-.18181	1	1
.464231	1	1
.26031	1	1
.363776	1	1
.454703	1	1
-0.3556	1	1
3.7036	1	1
14.932	1	1
29.176	1	1
28.81	1	1
14.397	1	1
2.6451	1	1
0.2313	1	1
3.02	1	1
15.997	1	1
43.713	1	1
64.629	1	1
49.976	1	1
15.484	1	1
0.1513	1	1
-0.471	1	1
-999999.0	1	1
0.273907084639124	1	1
-3.15279135630884	1	1
0.448654915529039	1	1
-1.19134294551807	1	1
3.38253309393705	1	1
-1.05087405984868	1	1
0.118507989164207	1	1
-1.41453721585464	1	1
0.1196	1	1
4.5073	1	1
-0.7914	1	1
0.0243	1	1
0.0705230784	1	1
0.0422820123	1	1
0.0092705272	1	1
0.0001520143	1	1
0.0002765672	1	1
0.0000430638	1	1
-99999.0	1	1
1.134	1	1
700.0	1	1
-700.0	1	1
1.2112	1	1
1.3925	1	1
1.4980	1	1
2.3958	1	1
2.8971	1	1
3.2035	1	1
1.6	1	1
1.57079632679489661923132169163975144209858469968755	1	1
211076.3	1	1
1.3160740129524924	1	1
0.658	1	1
0.760	1	1
0.00001	1	1
57.2957795130823208768	1	1
1.15	1	1
19.94	1	1
.255	1	1
27.2	1	1
1.2857	1	1
2.7	1	1
2.48e4	1	1
0.5585	1	1
9.3	1	1
31.5	1	1
4.71	1	1
3.14	1	1
7.2	1	1
2.302585092994045684017991454684	1	1
0.7316728	1	1
0.0625	1	1
57.295779513082320877	1	1
68.3	1	1
0.03	1	1
0.90	1	1
22.0	1	1
200000.0	1	1
0.683	1	1
4.23	1	1
0.316	1	1
4.30	1	1
-6.0	1	1
4.25	1	1
1.41421356237309504880168872420969808	1	1
150.0	1	1
0.0005	1	1
128.0	1	1
1.1102230246251565e-16	1	1
1.03046	1	1
9007199254740992.0	1	1
1.79e-3	1	1
2.93e-3	1	1
0.18	1	1
1.78e-8	1	1
5.1	1	1
0.027395522883651657	1	1
36.0	1	1
0.0277777	1	1
0.9862388238114597	1	1
1.3223	1	1
1.73205080756887729352744634150587237	1	1
8.4	1	1
0.36067376022224075	1	1
0.70710678	1	1
1.6487212707	1	1
4.52	1	1
3.14159265359	1	1
0.499999	1	1
0.7853981633974483	1	1
2.3548	1	1
.20	1	1
8.6	1	1
16777216.0	1	1
100000.0	1	1
9200.0	1	1
1800.0	1	1
450000.0	1	1
6500.0	1	1
7800.0	1	1
120.0	1	1
6200.0	1	1
80.0	1	1
1200.0	1	1
220.0	1	1
1500.0	1	1
320.0	1	1
350000.0	1	1
580.0	1	1
380000.0	1	1
950.0	1	1
1200000.0	1	1
50000.0	1	1
280000.0	1	1
350.0	1	1
850.0	1	1
240.0	1	1
380.0	1	1
5200.0	1	1
12000.0	1	1
+.2	1	1
40587.0	1	1
412.258369	1	1
20.3	1	1
.32	1	1
.16	1	1
31.2	1	1
7.4	1	1
10000000.0	1	1
9.71	1	1
18.2	1	1
-004.1	1	1
-89.0	1	1
14.75	1	1
256.0	1	1
0.92	1	1
-20.72	1	1
88.0	1	1
25.0	1	1
6000.0	1	1
1.35	1	1
58.6	1	1
1.02	1	1
7.0	1	1
1.84	1	1
0.0015	1	1
0.003	1	1
70.0	1	1
-1.1	1	1
.63	1	1
0.01745329251994329577	1	1
57.29577951308232087680	1	1
-3.14159265358979323846	1	1
116.0	1	1
99.0	1	1
1.0e3	1	1
-30.0	1	1
8.2	1	1
12.1	1	1
2.4	1	1
97.0	1	1
53.0	1	1
