artifact_id,host,relative_path,size_bytes,sha256,producer_commit,config_sha256,input_manifest_sha256,created_utc,retention
T4D016,fatduck,testdata/Galaxy_Center_T4/lights/panel2/Galaxy_Center_mosaic2_T4_flying_dutchman-20250716@004219-180S-Red.fts,32411520,AF05B52345033EB18B5CA9FE4BB3EC9C3BCD64F580DE07845825B3BBA881DA3E,,,,2026-08-27T12:2x:00Z,external-testdata-not-in-package
T4D017,fatduck,testdata/Galaxy_Center_T4/lights/panel2/Galaxy_Center_mosaic2_T4_flying_dutchman-20250717@031324-180S-Red.fts,32411520,574FEFAB6CFD575C63DF8E6AC4E552842A53ED5568D23C97F0F9BF62BEADE0E3,,,,2026-08-27T12:2x:00Z,external-testdata-not-in-package
T4D018,fatduck,testdata/Galaxy_Center_T4/lights/panel2/Galaxy_Center_mosaic2_T4_flying_dutchman-20250717@031717-180S-Red.fts,32411520,02434879780823673FF90B9EA90EE7F810A1E59E04D2D9A7E600FAF4BFB92BDD,,,,2026-08-27T12:2x:00Z,external-testdata-not-in-package
T4D019,fatduck,testdata/Galaxy_Center_T4/lights/panel2/Galaxy_Center_mosaic2_T4_flying_dutchman-20250717@032221-180S-Red.fts,32411520,4BAB24D2C7D5BAB9DB97205A21A4078EE32273B4B0A3FA2C953D2FCFDE7382EF,,,,2026-08-27T12:2x:00Z,external-testdata-not-in-package
T4D020,fatduck,testdata/Galaxy_Center_T4/lights/panel2/Galaxy_Center_mosaic2_T4_flying_dutchman-20250717@032620-180S-Red.fts,32411520,A76813B4068E444C515B83FAD583643B393C481B430FB8D32ACB72096740E467,,,,2026-08-27T12:2x:00Z,external-testdata-not-in-package
T4D021,fatduck,testdata/Galaxy_Center_T4/lights/panel2/Galaxy_Center_mosaic2_T4_flying_dutchman-20250717@033543-180S-Red.fts,32411520,BDB8C81C201270E398E1D90B3E6292B461B11926336388B43491B5F5B1F60DA5,,,,2026-08-27T12:2x:00Z,external-testdata-not-in-package
T4D022,fatduck,testdata/Galaxy_Center_T4/lights/panel2/Galaxy_Center_mosaic2_T4_flying_dutchman-20250717@033941-180S-Red.fts,32411520,4D6B6C06F5BFF81187D41B1393D621E3B894ABA8CD76158D094C3A9C9226CDE2,,,,2026-08-27T12:2x:00Z,external-testdata-not-in-package
T4D023,fatduck,testdata/Galaxy_Center_T4/lights/panel3/Galaxy_Center_mosaic3_T4_flying_dutchman-20250718@001638-180S-Red.fts,32411520,B99C60F770F94FFC5C059C5C9C93407AADAF2A93F7F5970C1DEBC3F782FB63A9,,,,2026-08-27T12:2x:00Z,external-testdata-not-in-package
T4D024,fatduck,testdata/Galaxy_Center_T4/lights/panel3/Galaxy_Center_mosaic3_T4_flying_dutchman-20250718@002045-180S-Red.fts,32411520,3A8AE2CBE530D02274FF9B8995230ECF07F9A4F7FDC2417A5713D593138B9499,,,,2026-08-27T12:2x:00Z,external-testdata-not-in-package
T4D025,fatduck,testdata/Galaxy_Center_T4/lights/panel3/Galaxy_Center_mosaic3_T4_flying_dutchman-20250718@002432-180S-Red.fts,32411520,FD99CB92F3F6A6E6A08733F3A6886C20269B09C29CF6C306127BE135BA441212,,,,2026-08-27T12:2x:00Z,external-testdata-not-in-package
T4D026,fatduck,testdata/Galaxy_Center_T4/lights/panel3/Galaxy_Center_mosaic3_T4_flying_dutchman-20250718@002821-180S-Red.fts,32411520,9273B2AEF2DC010547F857E7F3F46CCABD588E5296C2A34DC6D5D688ED6717AF,,,,2026-08-27T12:2x:00Z,external-testdata-not-in-package
T4D027,fatduck,testdata/Galaxy_Center_T4/lights/panel3/Galaxy_Center_mosaic3_T4_flying_dutchman-20250718@003210-180S-Red.fts,32411520,16254E10025CC3DF7FF81489CC87A19C31BB9CF7312D6F19571C5833D44AA914,,,,2026-08-27T12:2x:00Z,external-testdata-not-in-package
T4D028,fatduck,testdata/Galaxy_Center_T4/lights/panel3/Galaxy_Center_mosaic3_T4_flying_dutchman-20250718@003556-180S-Red.fts,32411520,E98B8660172B3ECE22C7B214B55E426D5D188A5D8B8DE9CB87C5119672826229,,,,2026-08-27T12:2x:00Z,external-testdata-not-in-package
T4D029,fatduck,testdata/Galaxy_Center_T4/lights/panel3/Galaxy_Center_mosaic3_T4_flying_dutchman-20250718@003945-180S-Red.fts,32411520,FECE6FF98ED7B31F190C78172D03A6746931423E7BFDDB215FCC05127DE1C7AA,,,,2026-08-27T12:2x:00Z,external-testdata-not-in-package
T4D030,fatduck,testdata/Galaxy_Center_T4/lights/panel3/Galaxy_Center_mosaic3_T4_flying_dutchman-20250718@004333-180S-Red.fts,32411520,0D50F9BB3D0A41CF3AA5B8A5E4F609266594151DCD66FA619E852530A9140DC9,,,,2026-08-27T12:2x:00Z,external-testdata-not-in-package
T4D031,fatduck,testdata/Galaxy_Center_T4/lights/panel3/Galaxy_Center_mosaic3_T4_flying_dutchman-20250718@004720-180S-Red.fts,32411520,993CB128D7E44402F0DBD424DE01138FAE940D80C656EAA7090FFD392FEE58FC,,,,2026-08-27T12:2x:00Z,external-testdata-not-in-package
T4D032,fatduck,testdata/Galaxy_Center_T4/lights/panel3/Galaxy_Center_mosaic3_T4_flying_dutchman-20250718@005108-180S-Red.fts,32411520,C704DEAF78605B939C8E2CDDAC21946639EA9C80629BD4FCFB662133609F98E7,,,,2026-08-27T12:2x:00Z,external-testdata-not-in-package
T4D033,fatduck,testdata/T4 calibration files/masterBias_BIN-1_4500x3600.xisf,64849152,EA14B6F5E471F673751C7E95BFCE8B92F09A135E0DB74AA4D277F3B4683E0D22,,,,2026-08-27T12:2x:00Z,external-testdata-not-in-package
T4D034,fatduck,testdata/T4 calibration files/masterDark_BIN-1_4500x3600_EXPOSURE-180.00s.xisf,64820480,07941CF826A0915B2C87C2BA1529994B65D2BDD31EDBB11998E99CE47C41479B,,,,2026-08-27T12:2x:00Z,external-testdata-not-in-package
T4D035,fatduck,testdata/T4 calibration files/masterFlat_BIN-1_4500x3600_FILTER-Red_mono.xisf,64824576,E3CB759828162F5DAFB42CDC2820698B9F30C0C682551D0E2E8282C2AA49F5DC,,,,2026-08-27T12:2x:00Z,external-testdata-not-in-package
