target_name,device_id,panel_id,filter_in_filename,filter_in_header,exposure_s,n_lights,light_dir,image_size_from_header,bin_from_header,gain_from_header,offset_from_header,temp_from_header,camera_from_header,telescope_from_header,date_obs_from_header,filter_alias_conflict,sample_file
NGC55,T3,,Lum,Lum,600.0,15,testdata\NGC55_T3_flying_dutchman\lights,4096x4096,1,,,-20.0,FLI,ACP->Astrooptik,2025-07-03T07:54:37,,testdata\NGC55_T3_flying_dutchman\lights\NGC55_T3_flying_dutchman-20250703@075400-600S-Lum.fts
NGC55,T3,,Oiii,Oiii,1200.0,14,testdata\NGC55_T3_flying_dutchman\lights,4096x4096,1,,,-20.0,FLI,ACP->Astrooptik,2025-07-01T08:35:10,,testdata\NGC55_T3_flying_dutchman\lights\NGC55_T3_flying_dutchman-20250701@083458-1200S-Oiii.fts
NGC55,T3,,Red,Red,600.0,11,testdata\NGC55_T3_flying_dutchman\lights,4096x4096,1,,,-20.0,FLI,ACP->Astrooptik,2025-07-01T07:41:22,,testdata\NGC55_T3_flying_dutchman\lights\NGC55_T3_flying_dutchman-20250701@074114-600S-Red.fts
NGC83_cluster,T3,,Blue,Blue,600.0,16,testdata\NGC83_cluster_T3_Flying_Dutchman\lights,4096x4096,1,,,-20.0,FLI,ACP->Astrooptik,2025-10-11T02:30:42,,testdata\NGC83_cluster_T3_Flying_Dutchman\lights\NGC90_2025wwk_T3_flying_dutchman-20251011@023034-600S-Blue.fts
NGC83_cluster,T3,,Green,Green,600.0,18,testdata\NGC83_cluster_T3_Flying_Dutchman\lights,4096x4096,1,,,-20.0,FLI,ACP->Astrooptik,2025-10-11T02:19:40,,testdata\NGC83_cluster_T3_Flying_Dutchman\lights\NGC90_2025wwk_T3_flying_dutchman-20251011@021932-600S-Green.fts
NGC83_cluster,T3,,Lum,Lum,600.0,22,testdata\NGC83_cluster_T3_Flying_Dutchman\lights,4096x4096,1,,,-20.0,FLI,ACP->Astrooptik,2025-10-11T02:41:40,,testdata\NGC83_cluster_T3_Flying_Dutchman\lights\NGC90_2025wwk_T3_flying_dutchman-20251011@024130-600S-Lum.fts
NGC83_cluster,T3,,Red,Red,600.0,16,testdata\NGC83_cluster_T3_Flying_Dutchman\lights,4096x4096,1,,,-20.0,FLI,ACP->Astrooptik,2025-10-11T02:08:54,,testdata\NGC83_cluster_T3_Flying_Dutchman\lights\NGC90_2025wwk_T3_flying_dutchman-20251011@020846-600S-Red.fts
Galaxy_Center,T4,panel1,Blue,Blue,180.0,11,testdata\Galaxy_Center_T4\lights,4500x3600,1,,,-20.0,FLI,ACP->10Micron Mount Driver,2025-07-03T05:54:32,,testdata\Galaxy_Center_T4\lights\panel1\Galaxy_Center_mosaic1_T4_flying_dutchman-20250703@055414-180S-Blue.fts
Galaxy_Center,T4,panel1,Green,Green,180.0,11,testdata\Galaxy_Center_T4\lights,4500x3600,1,,,-19.9375,FLI,ACP->10Micron Mount Driver,2025-07-02T06:36:37,,testdata\Galaxy_Center_T4\lights\panel1\Galaxy_Center_mosaic1_T4_flying_dutchman-20250702@063620-180S-Green.fts
Galaxy_Center,T4,panel1,H-alpha,H-alpha,300.0,9,testdata\Galaxy_Center_T4\lights,4500x3600,1,,,-20.0,FLI,ACP->10Micron Mount Driver,2025-07-03T06:13:35,,testdata\Galaxy_Center_T4\lights\panel1\Galaxy_Center_mosaic1_T4_flying_dutchman-20250703@061318-300S-H-alpha.fts
Galaxy_Center,T4,panel1,Oiii,Oiii,600.0,11,testdata\Galaxy_Center_T4\lights,4500x3600,1,,,-20.0,FLI,ACP->10Micron Mount Driver,2025-07-03T06:36:48,,testdata\Galaxy_Center_T4\lights\panel1\Galaxy_Center_mosaic1_T4_flying_dutchman-20250703@063631-600S-Oiii.fts
Galaxy_Center,T4,panel1,Red,Red,180.0,11,testdata\Galaxy_Center_T4\lights,4500x3600,1,,,-20.0,FLI,ACP->10Micron Mount Driver,2025-07-02T06:17:19,,testdata\Galaxy_Center_T4\lights\panel1\Galaxy_Center_mosaic1_T4_flying_dutchman-20250702@061703-180S-Red.fts
Galaxy_Center,T4,panel2,Blue,Blue,180.0,11,testdata\Galaxy_Center_T4\lights,4500x3600,1,,,-20.0,FLI,ACP->10Micron Mount Driver,2025-07-16T01:05:32,,testdata\Galaxy_Center_T4\lights\panel2\Galaxy_Center_mosaic2_T4_flying_dutchman-20250716@010515-180S-Blue.fts
Galaxy_Center,T4,panel2,Green,Green,180.0,13,testdata\Galaxy_Center_T4\lights,4500x3600,1,,,-20.0,FLI,ACP->10Micron Mount Driver,2025-07-16T00:46:26,,testdata\Galaxy_Center_T4\lights\panel2\Galaxy_Center_mosaic2_T4_flying_dutchman-20250716@004609-180S-Green.fts
Galaxy_Center,T4,panel2,H-alpha,H-alpha,300.0,9,testdata\Galaxy_Center_T4\lights,4500x3600,1,,,-20.0,FLI,ACP->10Micron Mount Driver,2025-07-16T01:24:37,,testdata\Galaxy_Center_T4\lights\panel2\Galaxy_Center_mosaic2_T4_flying_dutchman-20250716@012420-300S-H-alpha.fts
Galaxy_Center,T4,panel2,Oiii,Oiii,600.0,11,testdata\Galaxy_Center_T4\lights,4500x3600,1,,,-20.0,FLI,ACP->10Micron Mount Driver,2025-07-16T01:47:37,,testdata\Galaxy_Center_T4\lights\panel2\Galaxy_Center_mosaic2_T4_flying_dutchman-20250716@014720-600S-Oiii.fts
Galaxy_Center,T4,panel2,Red,Red,180.0,11,testdata\Galaxy_Center_T4\lights,4500x3600,1,,,-20.0,FLI,ACP->10Micron Mount Driver,2025-07-16T00:27:03,,testdata\Galaxy_Center_T4\lights\panel2\Galaxy_Center_mosaic2_T4_flying_dutchman-20250716@002647-180S-Red.fts
Galaxy_Center,T4,panel3,Blue,Blue,180.0,10,testdata\Galaxy_Center_T4\lights,4500x3600,1,,,-20.0,FLI,ACP->10Micron Mount Driver,2025-07-18T01:38:59,,testdata\Galaxy_Center_T4\lights\panel3\Galaxy_Center_mosaic3_T4_flying_dutchman-20250718@013842-180S-Blue.fts
Galaxy_Center,T4,panel3,Green,Green,180.0,10,testdata\Galaxy_Center_T4\lights,4500x3600,1,,,-20.0,FLI,ACP->10Micron Mount Driver,2025-07-18T00:55:14,,testdata\Galaxy_Center_T4\lights\panel3\Galaxy_Center_mosaic3_T4_flying_dutchman-20250718@005457-180S-Green.fts
Galaxy_Center,T4,panel3,H-alpha,H-alpha,300.0,8,testdata\Galaxy_Center_T4\lights,4500x3600,1,,,-20.0,FLI,ACP->10Micron Mount Driver,2025-07-18T02:17:03,,testdata\Galaxy_Center_T4\lights\panel3\Galaxy_Center_mosaic3_T4_flying_dutchman-20250718@021646-300S-H-alpha.fts
Galaxy_Center,T4,panel3,Oiii,Oiii,600.0,11,testdata\Galaxy_Center_T4\lights,4500x3600,1,,,-20.0,FLI,ACP->10Micron Mount Driver,2025-07-18T02:57:35,,testdata\Galaxy_Center_T4\lights\panel3\Galaxy_Center_mosaic3_T4_flying_dutchman-20250718@025717-600S-Oiii.fts
Galaxy_Center,T4,panel3,Red,Red,180.0,10,testdata\Galaxy_Center_T4\lights,4500x3600,1,,,-20.0,FLI,ACP->10Micron Mount Driver,2025-07-18T00:16:53,,testdata\Galaxy_Center_T4\lights\panel3\Galaxy_Center_mosaic3_T4_flying_dutchman-20250718@001638-180S-Red.fts
Victory_Nebula,T4,panel1,Blue,Blue,180.0,21,testdata\Victory_Nebula_T4_Flying_Dutchman\lights,4500x3600,1,,,-20.0,FLI,ACP->10Micron Mount Driver,2025-02-04T05:38:01,,testdata\Victory_Nebula_T4_Flying_Dutchman\lights\Victory_Nebula_mosaic1_flying_dutchman-20250204@053743-180S-Blue.fts
Victory_Nebula,T4,panel1,Green,Green,180.0,22,testdata\Victory_Nebula_T4_Flying_Dutchman\lights,4500x3600,1,,,-20.0,FLI,ACP->10Micron Mount Driver,2025-02-04T05:18:56,,testdata\Victory_Nebula_T4_Flying_Dutchman\lights\Victory_Nebula_mosaic1_flying_dutchman-20250204@051839-180S-Green.fts
Victory_Nebula,T4,panel1,Lum,Lum,180.0,49,testdata\Victory_Nebula_T4_Flying_Dutchman\lights,4500x3600,1,,,-20.0,FLI,ACP->10Micron Mount Driver,2025-02-04T03:57:02,,testdata\Victory_Nebula_T4_Flying_Dutchman\lights\Victory_Nebula_mosaic1_flying_dutchman-20250204@035646-180S-Lum.fts
Victory_Nebula,T4,panel1,Red,Red,180.0,22,testdata\Victory_Nebula_T4_Flying_Dutchman\lights,4500x3600,1,,,-20.0,FLI,ACP->10Micron Mount Driver,2025-02-04T04:54:25,,testdata\Victory_Nebula_T4_Flying_Dutchman\lights\Victory_Nebula_mosaic1_flying_dutchman-20250204@045409-180S-Red.fts
Victory_Nebula,T4,panel2,Blue,Blue,180.0,21,testdata\Victory_Nebula_T4_Flying_Dutchman\lights,4500x3600,1,,,-20.0,FLI,ACP->10Micron Mount Driver,2025-02-04T07:57:43,,testdata\Victory_Nebula_T4_Flying_Dutchman\lights\Victory_Nebula_mosaic2_flying_dutchman-20250204@075725-180S-Blue.fts
Victory_Nebula,T4,panel2,Green,Green,180.0,22,testdata\Victory_Nebula_T4_Flying_Dutchman\lights,4500x3600,1,,,-20.0,FLI,ACP->10Micron Mount Driver,2025-02-04T07:38:34,,testdata\Victory_Nebula_T4_Flying_Dutchman\lights\Victory_Nebula_mosaic2_flying_dutchman-20250204@073816-180S-Green.fts
Victory_Nebula,T4,panel2,Lum,Lum,180.0,49,testdata\Victory_Nebula_T4_Flying_Dutchman\lights,4500x3600,1,,,-20.0,FLI,ACP->10Micron Mount Driver,2025-02-04T06:15:59,,testdata\Victory_Nebula_T4_Flying_Dutchman\lights\Victory_Nebula_mosaic2_flying_dutchman-20250204@061544-180S-Lum.fts
Victory_Nebula,T4,panel2,Red,Red,180.0,22,testdata\Victory_Nebula_T4_Flying_Dutchman\lights,4500x3600,1,,,-20.0,FLI,ACP->10Micron Mount Driver,2025-02-04T07:13:32,,testdata\Victory_Nebula_T4_Flying_Dutchman\lights\Victory_Nebula_mosaic2_flying_dutchman-20250204@071316-180S-Red.fts
