doc_path,authority,status,notes
docs/history/v19/DATA_CONTRACTS.md,HISTORICAL,present,
docs/history/v19/DIAGNOSTICS.md,HISTORICAL,present,
docs/history/v19/DRIZZLE.md,HISTORICAL,present,
docs/history/v19/ERROR_TAXONOMY.md,HISTORICAL,present,
docs/history/v19/MODULE_INDEX.md,HISTORICAL,present,
docs/history/v19/PERFORMANCE.md,HISTORICAL,present,
docs/history/v19/PHASE2.md,HISTORICAL,present,
docs/history/v19/README.md,HISTORICAL,present,
docs/history/v19/SCIENTIFIC_ALGORITHMS.md,HISTORICAL,present,
docs/history/v19/SNR_NOISE_MODEL.md,HISTORICAL,present,
docs/history/v19/TESTING_AND_ACCEPTANCE.md,HISTORICAL,present,
docs/modules/acr.md,AUTHORITATIVE,present,
docs/modules/astro_image_io.md,AUTHORITATIVE,present,
docs/modules/calibration.md,AUTHORITATIVE,present,
docs/modules/common.md,AUTHORITATIVE,present,
docs/modules/dynamic_psf.md,AUTHORITATIVE,present,
docs/modules/gaia_xpsd_client.md,AUTHORITATIVE,present,
docs/modules/healpix_browser_qt.md,AUTHORITATIVE,present,
docs/modules/healpix_drizzle.md,AUTHORITATIVE,present,
docs/modules/orchestrator.md,AUTHORITATIVE,present,
docs/modules/phase2.md,AUTHORITATIVE,present,
docs/modules/photometric_calib.md,AUTHORITATIVE,present,
docs/modules/plate_solve.md,AUTHORITATIVE,present,
docs/modules/snr_estimator.md,AUTHORITATIVE,present,
docs/modules/star_detector.md,AUTHORITATIVE,present,
docs/performance/BASELINE.md,AUTHORITATIVE,present,
docs/performance/OPTIMIZATION.md,AUTHORITATIVE,present,
docs/science/ASTROMETRY.md,AUTHORITATIVE,present,
docs/science/CALIBRATION.md,AUTHORITATIVE,present,
docs/science/DRIZZLE.md,AUTHORITATIVE,present,
docs/science/INTEGRATION.md,AUTHORITATIVE,present,
docs/science/NOISE_MODEL.md,AUTHORITATIVE,present,
docs/science/PHASE2_UPM.md,AUTHORITATIVE,present,
docs/science/PHOTOMETRY.md,AUTHORITATIVE,present,
docs/science/PSF.md,AUTHORITATIVE,present,
docs/science/REJECTION.md,AUTHORITATIVE,present,
docs/science/SCIENCE_SCOPE.md,AUTHORITATIVE,present,
docs/science/UNCERTAINTY_AND_COVARIANCE.md,AUTHORITATIVE,present,
docs/standards/API_STANDARD.md,AUTHORITATIVE,present,
docs/standards/BENCHMARK_STANDARD.md,AUTHORITATIVE,present,
docs/standards/CODE_STANDARD.md,AUTHORITATIVE,present,
docs/standards/COMMENT_STANDARD.md,AUTHORITATIVE,present,
docs/standards/CONCURRENCY_STANDARD.md,AUTHORITATIVE,present,
docs/standards/C_ABI_STANDARD.md,AUTHORITATIVE,present,
docs/standards/DOCUMENTATION_STANDARD.md,AUTHORITATIVE,present,
docs/standards/ERROR_HANDLING_STANDARD.md,AUTHORITATIVE,present,
docs/standards/IO_STANDARD.md,AUTHORITATIVE,present,
docs/standards/LOGGING_DIAGNOSTICS_STANDARD.md,AUTHORITATIVE,present,
docs/standards/NUMERIC_STANDARD.md,AUTHORITATIVE,present,
docs/standards/RELEASE_STANDARD.md,AUTHORITATIVE,present,
docs/standards/TEST_STANDARD.md,AUTHORITATIVE,present,
docs/validation/SCIENCE_FREEZE.md,AUTHORITATIVE,present,
